,ntacode,ntaname,count
289,004637021,004637,0
290,002584019,002584,0
291,002592025,002592,0
292,001308059,001308,0
293,001308098,001308,1
294,009202067,009202,1
295,002582027,002582,0
296,002570078,002570,0
297,008412042,008412,1
298,004522096,004522,0
299,004569033,004569,0
300,008519055,008519,0
301,002630034,002630,0
302,004539058,004539,0
303,002415027,002415,3
304,002415033,002415,0
305,002311003,002311,1
306,002570077,002570,0
307,004503099,004503,0
308,002415037,002415,0
309,002571022,002571,0
310,002576098,002576,0
311,002576099,002576,0
312,002311002,002311,0
313,001419002,001419,0
314,001419005,001419,0
315,002577006,002577,0
316,002577009,002577,0
317,002577010,002577,0
318,002582033,002582,0
319,002582034,002582,0
320,002426049,002426,0
321,009231020,009231,0
322,002582047,002582,0
323,002583023,002583,0
324,002583025,002583,0
325,002590032,002590,0
326,002209041,002209,0
327,004539012,004539,0
328,004402005,004402,0
329,004593005,004593,0
330,004402007,004402,0
331,004539020,004539,1
332,004539039,004539,0
333,002616061,002616,0
334,004308039,004308,0
335,004308027,004308,0
336,005679022,005679,0
337,006303034,006303,0
338,005506007,005506,0
339,006303033,006303,0
340,001312095,001312,0
341,002445083,002445,0
342,004401074,004401,0
343,001347014,001347,0
344,002503025,002503,0
345,002578076,002578,0
346,009214007,009214,0
347,006414019,006414,0
348,005619003,005619,1
349,001332009,001332,0
350,001106015,001106,0
351,004111031,004111,0
352,005619004,005619,0
353,005619005,005619,1
354,008417024,008417,13
355,004309039,004309,0
356,009128001,009128,6
357,003103029,003103,0
358,003103030,003103,1
359,004309040,004309,0
360,004309041,004309,0
361,004402043,004402,1
362,004402040,004402,0
363,004404036,004404,0
364,004404032,004404,0
365,004404037,004404,0
366,002615070,002615,0
367,002615022,002615,0
368,004404040,004404,0
369,004404041,004404,0
370,004405065,004405,0
371,004405071,004405,0
372,004405072,004405,0
373,002553079,002553,0
374,004413035,004413,0
375,004413034,004413,1
376,004405079,004405,0
377,004405089,004405,0
378,001416005,001416,0
379,001416013,001416,0
380,004308042,004308,0
381,004511006,004511,0
382,006319013,006319,0
383,004511013,004511,0
384,005612009,005612,0
385,005202015,005202,0
386,004511049,004511,1
387,004511057,004511,0
