,SCaCodigo,SCaNombre,count
0,205109,LA MAGDALENA I,74
1,205227,OSORIO IX,1
2,208128,TORCA II,4
3,105203,OSORIO II,2
4,201109,INGEMAR I,1
5,201110,INGEMAR ORIENTAL I,9
6,201317,TIBAQUE III,2
7,201408,LA PERSEVERANCIA I,0
8,001340,TIHUAQUE,4
9,002305,LIBERTADOR,32
10,004501,HIPOTECHO,50
11,002550,DUITAMA,0
12,002533,SOTAVENTO,9
13,004565,TOCAREMA,20
14,004516,BOITA,25
15,009224,NUEVA TIBABUYES,64
16,009103,CANTAGALLO,272
17,005616,LOS CEREZOS,56
18,104129,EL MOCHUELO II,0
19,006534,EL TINTAL IV,6
20,009209,VILLA MARIA,25
21,006208,ORTEZAL,67
22,004413,AUTOPISTA MUZU ORIENTAL,23
23,004540,CATALINA II,19
24,003110,LA CATEDRAL,25
25,002626,BOLONIA I,0
26,004205,PRIMAVERA OCCIDENTAL,37
27,002585,EL MOCHUELO URBANO,0
28,202511,PUERTA AL LLANO RURAL,0
29,102601,CENTRO USME RURAL,0
30,002577,DANUBIO II,2
31,004103,VOTO NACIONAL,15
32,002602,FISCALA ALTA,1
33,002599,CENTRO USME URBANO,25
34,008306,PORCIUNCULA,70
35,002619,VILLA ANITA,1
36,004630,PARCELA EL PORVENIR,67
37,009215,CASABLANCA SUBA,117
38,002604,LOS OLIVARES,2
39,002642,EL PORTAL URBANO,0
40,002535,PALERMO SUR,3
41,002302,SANTANDER SUR,7
42,002104,RESTREPO OCCIDENTAL,40
43,002107,LA FRAGUA,23
44,004107,SANTA ISABEL SUR,41
45,002106,SENA,4
46,002103,RESTREPO,41
47,001316,MORALBA,7
48,002414,ISMAEL PERDOMO,2
49,109112,CAPITOLIO,0
50,008220,SIBERIA CENTRAL,5
51,004521,LA ESTACION BOSA,8
52,008415,SANTA BARBARA CENTRAL,984
53,002594,VILLA ISRAEL,2
54,005660,SAN ANTONIO URBANO,6
55,005505,BOSQUE POPULAR,22
56,004545,CATALINA,30
57,002598,EL MOCHUELO II URBANO,1
58,102502,EL UVAL RURAL,4
59,004524,SAN PABLO BOSA,11
60,001344,LOS SOCHES,1
61,002630,EL PORTAL DEL DIVINO,1
62,001415,MARCO FIDEL SUAREZ I,11
63,004553,ANDALUCIA II,11
64,004622,BRASIL,21
65,006523,SAN PEDRO DE LOS ROBLES,5
66,001350,YOMASA,3
67,102115,LA UNION,0
68,008532,EL REDIL,62
69,001101,LAS BRISAS,21
70,104110,QUIBA BAJO,0
71,004641,LA INDEPENDENCIA,18
72,005655,GARCES NAVAS SUR,29
73,005632,BOCHICA,63
74,002412,VERONA,7
75,002519,DANUBIO,9
76,103107,LAS PALMAS,0
77,004519,ESCOCIA,12
78,004507,CIUDAD KENNEDY SUR,31
79,001357,SANTA INES SUR II,5
80,002547,EL TESORO,2
81,004546,VILLA DEL RIO,47
82,007406,SANTA SOFIA,10
83,005507,NORMANDIA,109
84,005663,EL DORADO INDUSTRIAL,146
85,006415,LA LAGUNA FONTIBON,16
86,002456,QUIBA I,2
87,004560,SAUCEDAL,0
88,001307,RAMAJAL,2
89,008529,SAN JOSE DE USAQUEN,79
90,101302,MOLINO RURAL,0
91,007104,TEUSAQUILLO,77
92,001355,LAS GUACAMAYAS I,4
93,004594,SAN ANTONIO,16
94,002561,CORDILLERA DEL SUR,1
95,109105,SANTO DOMINGO,0
96,002501,SAN CARLOS,15
97,009211,EL POA,64
98,009249,VEREDA SUBA NARANJOS,132
99,004207,GORGONZOLA,5
100,004570,ANTONIA SANTOS,5
101,009227,LECH WALESA,8
102,009261,TUNA,0
103,004109,VERAGUAS,19
104,005604,EL REAL,27
105,002640,EL PEDREGAL II,0
106,008309,LA CABRERA,244
107,001432,DIANA TURBAY CULTIVOS,1
108,105103,SAN PEDRO,0
109,006406,VILLEMAR,74
110,001115,MONTE CARLO,0
111,002534,CASA DE TEJA,3
112,007307,MUEQUETA,6
113,202506,EL NUEVO PORTAL II RURAL,0
114,201404,LA PEÃA RURAL,0
115,002540,ESTRELLA DEL SUR,5
116,009216,LA GAITANA,17
117,107101,GUAYMARAL,57
118,004502,HIPOTECHO OCCIDENTAL,98
119,006516,TINTALA,335
120,006529,EL VERGEL ORIENTAL,40
121,104107,BELLA FLOR SUR RURAL,0
122,005627,GARCES NAVAS,45
123,004542,ALQUERIA LA FRAGUA NORTE,11
124,108112,PARAMO II RURAL,0
125,006212,SALAZAR GOMEZ,17
126,002636,LA HUERTA,0
127,004532,LA CECILIA,10
128,002618,PUERTA AL LLANO DE USME,7
129,004529,CEMENTERIO JARDINES APOGEO,11
130,004631,EL CORZO,47
131,002597,LA FISCALA NORTE,10
132,001202,CIUDAD BERNA,34
133,002634,EL TUNO,3
134,001324,EL PINAR,14
135,006527,INTERINDUSTRIAL,3
136,002558,VILLAS EL DIAMANTE,1
137,002637,ARRAYANES VI,0
138,005683,QUIRIGUA I,4
139,005404,LAS FERIAS,27
140,005501,PALO BLANCO,27
141,004597,SAN BERNARDINO I,5
142,002548,EL VIRREY,24
143,004539,GRAN COLOMBIANO,10
144,002511,LA PICOTA,3
145,006504,BAVARIA,66
146,002635,BRISAS DEL LLANO,0
147,004574,CHARLES DE GAULLE,5
148,002518,RONDA,12
149,001331,ALTOS DEL ZUQUE,2
150,004549,NUEVA YORK,3
151,004308,COLON,19
