TIPO;NOMBRE;SHAPE_AREA;SHAPE_LEN
Parque Zonal;URBANIZACI?ÙN LA ESTANCIA;1,525,605,816,140,000;66,384,772,389,100
Parque Zonal;LA AURORA II;2,732,742,539,180,000;104,612,619,366,000
Parque Zonal;CARMEN DE LA LAGUNA;1,933,988,664,880,000;77,480,137,282,500
Parque Zonal;ALCAZARES;1,558,368,402,260,000;65,189,572,712,600
Parque Zonal;MILENTA TEJAR SAN EUSEBIO;13,795,483,087,900,000;470,696,887,304,000
Parque Zonal;LOS MOLINOS II;943,122,155,002,000;49,733,222,842,500
Parque Metropolitano;BOSQUE  SAN CARLOS;21,387,200,427,900,000;497,600,508,685,000
Parque Zonal;CANAL EL VIRREY- EL CHICO;11,022,768,107,400,000;452,611,224,211,000
Parque Metropolitano;SIMON BOLIVAR (SECTOR TRANSITO);806,617,456,052,000;45,522,847,864,700
Parque Metropolitano;SIMON BOLIVAR (SECTOR FUNDACION NI?ÊO DIFERENTE);746,166,196,236,000;37,821,960,046,600
Parque Metropolitano;SIMON BOLIVAR (SECTOR NOVIOS II);17,506,972,565,900,000;261,640,981,383,000
Parque Metropolitano;SIMON BOLIVAR (SECTOR I.D.R.D.);16,881,700,619,600,000;224,647,985,672,000
Parque Zonal;CLARELANDIA;2,731,357,274,570,000;129,175,921,221,000
Parque Metropolitano;EL RECREO;17,921,893,041,200,000;604,618,692,545,000
Parque Zonal;BELLAVISTA-DINDALITO;2,407,416,486,320,000;76,220,661,955,200
Parque Zonal;CANAL BOYACA MODELIA;6,379,895,267,360,000;517,337,662,395,000
Parque Zonal;LA GAITANA;4,469,791,504,060,000;144,128,813,130,000
Parque Zonal;CANAL DEL RIO NEGRO;12,812,111,798,100,000;1,121,001,573,320,000
Parque Zonal;FONTANAR DEL RIO;18,532,848,450,200,000;239,969,491,189,000
Parque Metropolitano;TIMIZA;29,987,029,200,100,000;285,170,216,616,000
Parque Zonal;NUEVO MUZU;7,333,653,112,740,000;395,773,561,780,000
Parque Zonal;EL CARMELO;3,397,950,001,310,000;113,032,166,743,000
Parque Zonal;EL VIRREY SUR;1,667,920,898,950,000;151,337,946,960,000
Parque Zonal;FAMACO;6,899,827,468,060,000;214,082,967,568,000
Parque Zonal;SIERRA MORENA;2,716,990,276,470,000;78,624,837,092,100
Parque Zonal;CANDELARIA LA NUEVA;463,249,397,979,000;30,900,790,411,400
Parque Zonal;MEISSEN;898,035,842,817,000;40,452,604,241,500
Parque Zonal;LAS BRISAS ( ZANJON DE LA MURALLA );3,346,863,519,580,000;323,607,825,552,000
Parque Zonal;PATIO BONITO;657,140,267,642,000;33,918,614,579,400
Parque Zonal;PARQUE ZONAL CORDOBA;2,817,775,564,750,000;86,518,896,909,600
Parque Zonal;LA JOYA;2,395,013,417,780,000;61,998,109,062,100
Parque Zonal;EL JAZMIN;3,381,386,011,760,000;91,498,261,880,300
Parque Zonal;CIUDAD MONTES;6,974,810,300,480,000;134,742,282,712,000
Parque Zonal;LAS CRUCES;1,206,479,937,110,000;44,488,096,053,500
Parque Metropolitano;INDEPENDENCIA;5,675,221,361,870,000;119,430,586,381,000
Parque Zonal;QUIROGA;681,532,902,429,000;43,091,602,599,300
Parque Zonal;PARQUE ESTADIO OLAYA HERRERA;5,256,592,930,830,000;132,073,815,581,000
Parque Zonal;LA CONCORDIA;538,239,844,739,000;33,590,855,918,900
Parque Zonal;VERAGUAS;2,418,804,505,200,000;68,227,698,421,600
Parque Zonal;NICOLAS DE FEDERMAN 3;2,264,248,417,380,000;109,262,347,582,000
Parque Metropolitano;SIMON BOLIVAR ( SECTOR VIRGILIO BARCO);13,938,242,667,100,000;166,235,754,342,000
Parque Zonal;SAUZALITO;2,574,817,875,060,000;70,719,775,522,000
Parque Zonal;SUCRE O HIPPIES;701,069,614,352,000;35,278,876,600,200
Parque Zonal;SERVITA;2,308,403,609,980,000;66,083,783,348,800
Parque Zonal;ALTA BLANCA;1,141,994,961,470,000;47,107,882,923,000
