,Barrio,acc_transito,homicidios,hurto_autos_x,hurto_comercial,hurto_autos_y,hurto_financieras,hurto_motos,conteo_hurto_residencial,conteo_lesiones_personales,conteo_pirateria,hurto_personas
1339,IBIZA E-1,,,,3.0,,,,,,,
1340,GRAN YOMASA II SECTOR E-5,,,,3.0,,,,,,,5.0
1341,SANTAFEREÑA E-3,,,,3.0,,,1.0,,1.0,,
1342,CONJUNTO RESIDENCIAL LA PRADERA E-1,,,,3.0,,,,,6.0,,
1343,SAN PEDRO E-11,,,,3.0,,,2.0,2.0,8.0,,23.0
1344,CERROS DE ORIENTE E-18,,,,3.0,,,,2.0,9.0,,
1345,ALTOS DEL POBLADO E-4,,,,3.0,,,,1.0,3.0,,2.0
1346,TRES ESQUINAS E-19,,,,3.0,,,1.0,1.0,5.0,,3.0
1347,MUSEO DEL CHICO E-2,,,,3.0,,,1.0,,,,4.0
1348,EL CEREZO E-1,,,,3.0,,,1.0,,2.0,,25.0
1349,CIUDADELA EL PORVENIR E-7,,,,3.0,,,2.0,,3.0,,19.0
1350,LOS ALCAPARROS DE SUBA E-11,,,,3.0,,,,1.0,,,2.0
1351,ACACIAS III PARTE BAJA E-19,,,,3.0,,,,,1.0,,
1352,CIUDAD SALITRE URBANISMO E-13,,,,3.0,,,,1.0,,,
1353,VILLA MAYOR LA NUEVA E-6,,,,3.0,,,,,,,
1354,LA LIBERTAD E-12,,,,3.0,,,1.0,2.0,,,9.0
1355,LA PAZ E-7,,,,3.0,,,2.0,2.0,6.0,,5.0
1356,SANTA LUCIA SUR E-18,,,,3.0,,,,2.0,1.0,,16.0
1357,EL TROPEZON E-7,,,,3.0,,,,2.0,3.0,,6.0
1358,CIUDADELA NVA TIBABUYES E-11,,,,3.0,,,1.0,,9.0,,8.0
1359,LA CAMPIÑA I SECTOR E-11,,,,3.0,,,,2.0,2.0,,13.0
1360,VILLA MARY E-10,,,,3.0,,,,,1.0,,
1361,BAVARIA TECHO II SECTOR E-8,,,,3.0,,,,1.0,2.0,,
1362,SANTA ANA NORTE E-1,,,,3.0,,,1.0,3.0,,,27.0
1363,CIUDAD BOGOTA E-19,,,,3.0,,,1.0,,3.0,,7.0
1364,SAN ANDRESITO LA 38 E-16,,,,3.0,,,,,,,6.0
1365,MARÍA CANO E-19,,,,3.0,,,,,3.0,,
1366,CIUDAD DE TECHO E-8,,,,3.0,,,1.0,3.0,,,24.0
1367,TINTALITO I E-8,,,,3.0,,,,1.0,1.0,,7.0
1368,CENTRO COMERCIAL UNICENTRO E-1,,,,3.0,,,,,,,
1369,GUADUAL E-9,,,,3.0,,,,1.0,1.0,,
1370,EL NOGAL E-11,,,,3.0,,,,,,,5.0
1371,LA AMISTAD BOSA E-7,,,,3.0,,,2.0,2.0,4.0,,18.0
1372,VERBENAL I E-1,,,,3.0,,,,,,,
1373,TUNDAMA E-8,,,,3.0,,,,1.0,1.0,,2.0
1374,LA CONSOLACION E-10,,,,3.0,,,,1.0,1.0,,3.0
1375,PALESTINA E-7,,,,3.0,,,,2.0,2.0,,4.0
1376,NUEVO CHILE E-7,,,,3.0,,,,,3.0,,5.0
1377,POTRERITO E-7,,,,3.0,,,2.0,1.0,2.0,,
1378,SANTA MARGARITA E-11,,,,3.0,,,,1.0,,,4.0
1379,ALOHA SUR E-8,,,,3.0,,,1.0,,,,
1380,ARRAYANES IV E-18,,,,3.0,,,2.0,2.0,9.0,,
1381,VALBANERA E-15,,,,3.0,,,,,3.0,,2.0
1382,MANUELITA II SECTOR E-11,,,,3.0,,,,,1.0,,
1383,HADA TIBABITA E-1,,,,3.0,,,,,2.0,,6.0
1384,EL DANUBIO AZUL E-7,,,,3.0,,,2.0,1.0,1.0,,5.0
1385,SOCORRO III SECTOR E-18,,,,3.0,,,,1.0,,,
1386,SAMPER MENDOZA E-12,,,,2.0,,,,,,,
1387,CONTADOR NORTE E-1,,,,2.0,,,,1.0,,,12.0
1388,VEREDA SAN JOSE E-7,,,,2.0,,,,,2.0,,
1389,NORMANDIA II SECTOR E-10,,,,2.0,,,,10.0,,,33.0
1390,ACAPULCO E-5,,,,2.0,,,1.0,,2.0,,
1391,CERRO MONSERRATE E-3,,,,2.0,,,,,,,13.0
1392,LOURDES E-3,,,,2.0,,,1.0,2.0,13.0,,12.0
1393,ARRAYANES SUBA E-11,,,,2.0,,,,2.0,,,8.0
1394,LOS PERIODISTAS E-8,,,,2.0,,,1.0,4.0,1.0,,4.0
1395,EL CONSUELO E-2,,,,2.0,,,,,,,
1396,SANTA CECILIA E-5,,,,2.0,,,,,,,
1397,ZONA INDUSTRIAL LAS GRANJAS E-16,,,,2.0,,,1.0,1.0,,,14.0
1398,SAN PABLO II SECTOR E-7,,,,2.0,,,,,,,3.0
1399,ALAMOS III E-10,,,,2.0,,,,,,,
1400,LOS BALEARES E-9,,,,2.0,,,,,,,
1401,PASEO DE LAS AMERICAS E-8,,,,2.0,,,,,,,
1402,LA HORTUA E-15,,,,2.0,,,,,3.0,,13.0
1403,CHICO RESERVADO E-2,,,,2.0,,,,4.0,,,24.0
1404,ARBOLEDA E-16,,,,2.0,,,,,,,
1405,PREDIO EL JARDÍN E-10,,,,2.0,,,,,2.0,,
1406,LA FONTANA E-11,,,,2.0,,,,,1.0,,
1407,EL PORTAL DE PATIO BONITO E-8,,,,2.0,,,,,8.0,,12.0
1408,RAFAEL ESCAMILLA E-19,,,,2.0,,,,,,,13.0
1409,LA PAMPA II E-8,,,,2.0,,,1.0,,1.0,,4.0
1410,LAS MARGARITAS E-11,,,,2.0,,,,1.0,,,2.0
1411,VALENCIA LA CHUCUA E-8,,,,2.0,,,,2.0,1.0,,
1412,SAN MARTIN E-7,,,,2.0,,1.0,2.0,8.0,5.0,,7.0
1413,NUEVA USME E-5,,,,2.0,,,1.0,,4.0,,18.0
1414,SANTA ISABEL I SECTOR URB. E-14,,,,2.0,,,,1.0,,,10.0
1415,CEDRO GOLF EL RODEO E-1,,,,2.0,,,,2.0,,,4.0
1416,LAS ACACIAS E-1,,,,2.0,,,,3.0,5.0,,21.0
1417,CENTAUROS DEL DANUBIO E-10,,,,2.0,,,,,4.0,,
1418,EL CAMI TRINIDAD GALAN E-16,,,,2.0,,,,1.0,,,
1419,TENERIFE E-5,,,,2.0,,,,1.0,1.0,,3.0
1420,SAN MIGUEL BAJO E-4,,,,2.0,,,,,1.0,,
1421,SANTA RITA SUR ORIENTAL E-4,,,,2.0,,,2.0,3.0,5.0,,8.0
1422,NUEVA AUTOPISTA E-1,,,,2.0,,,,2.0,,,8.0
1423,LA PRIMAVERA NORTE E-16,,,,2.0,,,1.0,3.0,1.0,,8.0
1424,MARANTA E-1,,,,2.0,,,,,,,3.0
1425,CARMEN DEL SOL I SECTOR E-18,,,,2.0,,,,,3.0,,
1426,BARCELONA E-4,,,,2.0,,,1.0,2.0,3.0,,8.0
1427,C. COMERCIAL SALITRE PLAZA E-9,,,,2.0,,,,,,,32.0
1428,SANTA YOLANDA E-8,,,,2.0,,,,,,,
1429,EDIFICIO FÁBRICA EL CÓNDOR E-19,,,,2.0,,,,,,,
1430,BUENOS AIRES E-19,,,,2.0,,,,1.0,,,6.0
1431,LA CITA E-1,,,,2.0,,,3.0,,3.0,,4.0
1432,SANTA BARBARA ALTA II SECTOR E-1,,,,2.0,,,,1.0,,,8.0
1433,ALTOS DE JALISCO E-19,,,,2.0,,,,,3.0,,
1434,PIO X KENNEDY E-8,,,,2.0,,,,,1.0,,
1435,CONDOMINIO RESIDENCIAL TIMIZA E-8,,,,2.0,,,,,,,
1436,PARAJES DEL BALMORAL E-1,,,,2.0,,,,,,,2.0
1437,CONJUNTO ESCUELA DE CABALLERIA E-1,,,,2.0,,,,,,,3.0
1438,BALCONES DE TIBANA E-16,,,,2.0,,,,2.0,1.0,,5.0
1439,EL CAMPIN (ESTADIO) E-13,,,,2.0,,,,,1.0,,24.0
1440,PRADO SUR E-11,,,,2.0,,,,2.0,,,
1441,INTERNACIONAL E-9,,,,2.0,,,,,3.0,,
1442,MONTES III SECTOR E-16,,,,2.0,,,,,,,
1443,TURINGIA II E-11,,,,2.0,,,,,,,
1444,VILLA DEL CAMPO E-11,,,,2.0,,,,1.0,2.0,,
1445,PALESTINA E-10,,,,2.0,,,,,,,
1446,QUINDIO E-4,,,,2.0,,,3.0,3.0,3.0,,8.0
1447,LA LLANURA AVENIDA PRIMERO DE MAYO E-8,,,,2.0,,,,,,,
1448,EL MIRADOR E-11,,,,2.0,,,,1.0,,,
1449,VILLA DEL PRADO NVA E-11,,,,2.0,,,,2.0,,,
1450,LOS CERECITOS E-10,,,,2.0,,,,,1.0,,
1451,LAS VILLAS II SECTOR E-11,,,,2.0,,,,1.0,5.0,,2.0
1452,PREDIO EN FONTIBON E-9,,,,2.0,,,,,,,7.0
1453,BILBAO II ETAPA E-11,,,,2.0,,,,3.0,,,8.0
1454,VILLA DEL RINCON E-11,,,,2.0,,,,,5.0,,
1455,AMARUC E-7,,,,2.0,,,,1.0,3.0,,
1456,LAS BRISAS E-9,,,,2.0,,,,1.0,,,3.0
1457,MARISCAL SUCRE E-2,,,,2.0,,,,2.0,,,9.0
1458,VILLA LATORRE E-8,,,,2.0,,,,,1.0,,8.0
1459,CIUDAD KENNEDY CENTRO CIVICO D.L.F. E-8,,,,2.0,,,,2.0,1.0,,8.0
1460,SIDAUTO E-10,,,,2.0,,,,,,,
1461,EL UVAL E-5,,,,2.0,,,,2.0,4.0,,5.0
1462,SAN JORGE E-11,,,,2.0,,,1.0,,,,6.0
1463,BRITALIA PORTALES DEL NORTE E-11,,,,2.0,,,1.0,6.0,,,28.0
1464,WALESSA E-11,,,,2.0,,,1.0,1.0,5.0,,4.0
1465,CARACAS I-II-III E-18,,,,2.0,,,,,,,
1466,LUCERNA E-8,,,,2.0,,,1.0,1.0,4.0,,2.0
1467,NUEVA ALSACIA E-11,,,,2.0,,,,,,,3.0
1468,SAN ANTONIO NORTE II SECTOR E-1,,,,2.0,,,,1.0,,,9.0
1469,PASEO DE LA COLINA E-11,,,,2.0,,,,,,,
1470,PARQUE SIMON BOLIVAR E-13,,,,2.0,,,,,2.0,,79.0
1471,VILLA DE LA TORRE E-8,,,,2.0,,,1.0,,,,
1472,CAROLINA ORIENTAL E-2,,,,2.0,,,,,,,
1473,VERBENAL II SECTOR E-1,,,,2.0,,,,2.0,,,
1474,VERACRUZ E-9,,,,2.0,,,1.0,,1.0,,
1475,PRADO ALTO E-1,,,,2.0,,,,,,,3.0
1476,LOS PINOS DE SUBA E-11,,,,2.0,,,,,,,6.0
1477,MODELO II E-12,,,,2.0,,,,,,,
1478,SINAY E-8,,,,2.0,,,1.0,2.0,1.0,,
1479,ARGELIA E-7,,,,2.0,,,,,2.0,,7.0
1480,LA URIBE E-11,,,,2.0,,,,,,,3.0
1481,CAMPO DEPORTIVO USAQUEN E-1,,,,2.0,,,,,,,
1482,CASA BLANCA I E-11,,,,2.0,,,2.0,3.0,1.0,,16.0
1483,CERVANTES E-8,,,,2.0,,,,1.0,2.0,,
1484,LOS MONARCAS E-11,,,,2.0,,,,,,,
1485,CEDRO BOLIVAR II SECTOR E-1,,,,2.0,,,,,,,
1486,GAITAN E-12,,,,2.0,,,,1.0,,,8.0
1487,PORTAL DE LAS AMERICAS E-8,,,,2.0,,,,,,,10.0
1488,SUCRE E-3,,,,2.0,,,,1.0,,,
1489,URB. CARACAS E-15,,,,2.0,,,,,1.0,,
1490,FONTANAR DEL RÍO E-11,,,,2.0,,,,,,,
1491,SAN MATEO E-10,,,,2.0,,,,,,,4.0
1492,EL BATAM II SECTOR E-11,,,,2.0,,,,1.0,,,4.0
1493,ALMENDROS TINTALITO BOSA E-8,,,,2.0,,,,,,,5.0
1494,SAN ANDRESITO NORTE E-1,,,,2.0,,,,,,,
1495,ORQUIDEAS E-11,,,,2.0,,,,2.0,,,6.0
1496,ALTAMIRA CHIQUITA E-4,,,,2.0,,,,1.0,,,
1497,SANTA ISABEL E-9,,,,2.0,,,,,,,
1498,BOSQUE DE LOS MOLINOS E-18,,,,2.0,,,,1.0,1.0,,5.0
1499,AGUA BLANCA EL REMATE E-7,,,,2.0,,,,,3.0,,
1500,CASABLANCA E-1,,,,2.0,,,,,2.0,,
1501,LA Y SUR ESTE E-4,,,,2.0,,,,,,,
1502,VILLA GLORIA I E-11,,,,2.0,,,2.0,,2.0,,
1503,SANTA ROSITA E-10,,,,2.0,,,2.0,7.0,1.0,1.0,11.0
1504,EL PORVENIR PARCELA 23 E-7,,,,2.0,,,,2.0,3.0,,5.0
1505,SAN ANTONIO DE ESCOCIA E-7,,,,2.0,,,,,,,
1506,"LUCERO BAJO ""CENTRAL TELEFÓNICA"" E-19",,,,2.0,,,,,1.0,,
1507,PARCELACIÓN SAN JOSÉ E-11,,,,2.0,,,,,,,
1508,CEMENTERIO EL APOGEO E-7,,,,2.0,,,,,10.0,,
1509,EL SAUCEDAL E-8,,,,2.0,,,,1.0,1.0,,
1510,LOS LAURELES SABANAS DEL DORADO E-10,,,,2.0,,,,2.0,1.0,,
1511,LOS OLIVARES E-5,,,,2.0,,,,,,,
1512,RINCONCITO E-11,,,,2.0,,,,,1.0,,
1513,BOSQUES DE MODELIA I ETAPA E-9,,,,2.0,,,,,,,5.0
1514,JUAN REY E-5,,,,2.0,,,,1.0,,,2.0
1515,NUEVA VILLEMAR E-9,,,,2.0,,,,,1.0,,
1516,ALTILLOS DE SUBA E-11,,,,2.0,,,,2.0,,,17.0
1517,CEDRO NARVAEZ E-1,,,,2.0,,,,1.0,,,14.0
1518,BRASILIA E-11,,,,2.0,,,,,,,
1519,LA COLONIA ORIENTAL E-16,,,,2.0,,,,,1.0,,
1520,PORTAL DE ALCALÁ E-10,,,,2.0,,,,,,,
1521,LA PRIMAVERA E-19,,,,2.0,,,1.0,2.0,1.0,,14.0
1522,CENTRO COMERCIAL ANDINO E-2,,,,2.0,,,,,,,
1523,LA ALAMEDA E-1,,,,2.0,,,,1.0,1.0,,5.0
1524,AMAPARO CAÑIZARES E-8,,,,2.0,,,1.0,1.0,,,5.0
1525,SAN GABRIEL E-1,,,,2.0,,,,1.0,,,5.0
1526,NUEVO PORVENIR E-5,,,,2.0,,,,2.0,4.0,,4.0
1527,VILLAS EL DIAMANTE E-19,,,,2.0,,,1.0,1.0,2.0,,
1528,SAN VICENTE DE PAUL E-14,,,,2.0,,,,,,,
1529,POLO DEL COUNTRY E-1,,,,2.0,,,,,,,
1530,ARGELIA E-8,,,,2.0,,,,,2.0,,2.0
1531,DELICIAS DEL CERRO E-1,,,,2.0,,,,,,,
1532,BOITA II SECTOR E-8,,,,2.0,,,2.0,,1.0,,2.0
1533,SAN ESTEBAN E-16,,,,2.0,,,,,,,
1534,EL CARMELO E-8,,,,2.0,,,3.0,7.0,3.0,,12.0
1535,PARQUES DE NORMANDIA E-10,,,,2.0,,,,,,,
1536,BRISAS DEL POLO E-12,,,,2.0,,,,,1.0,,3.0
1537,DANUBIO AZUL I Y II SECTOR E-7,,,,2.0,,,1.0,,,,2.0
1538,LA ALAMEDA E-11,,,,2.0,,,,,,,
1539,JUAN XXIII E-2,,,,2.0,,,,,,,
1540,LOS COMUNEROS E-5,,,,2.0,,,2.0,4.0,9.0,,11.0
1541,SENA E-15,,,,2.0,,,1.0,,5.0,,32.0
1542,MULTICENTRO E-1,,,,2.0,,,,,,,7.0
1543,COMPOSTELA II E-5,,,,2.0,,,,,1.0,,
1544,PORTAL DE LA VEGA E-5,,,,2.0,,,,,,,
1545,VILLA ALEXANDRA E-11,,,,2.0,,,,,,,
1546,MOLINOS DE VIENTO E-10,,,,2.0,,,,2.0,1.0,,
1547,ABRAHAM LINCON E-8,,,,2.0,,,,,2.0,,
1548,LAS VILLAS DE MARIANA E-11,,,,2.0,,,,,1.0,,
1549,PATRIA E-12,,,,2.0,,,,,,,6.0
1550,NUEVO COUNTRY I SECTOR E-1,,,,2.0,,,,2.0,,,5.0
1551,CALDAS E-7,,,,2.0,,,1.0,4.0,4.0,,
1552,EL ARPA Y LA LIRA E-16,,,,2.0,,,,,,,
1553,TIBABUYES II SECTOR E-11,,,,2.0,,,1.0,1.0,12.0,,10.0
1554,PUENTE GRANDE FLORENCIA E-9,,,,2.0,,,,2.0,,,
1555,LA SOLEDAD SAN JOSE NORTE E-10,,,,2.0,,1.0,2.0,2.0,4.0,,18.0
1556,EL PROGRESO I SECTOR E-8,,,,2.0,,,,,,,
1557,PROVIDENCIA ALTA E-18,,,,2.0,,,2.0,,,,
1558,VEREDA SUBA CERROS E-11,,,,2.0,,,,,1.0,,
1559,EL GACO E-10,,,,2.0,,,1.0,3.0,4.0,,10.0
1560,LA TUNA E-11,,,,1.0,,,,,,,6.0
1561,LA FORTALEZA E-5,,,,1.0,,,,1.0,2.0,,
1562,LA CORUNA E-16,,,,1.0,,,,,,,
1563,BOSTON E-9,,,,1.0,,,,2.0,2.0,,2.0
1564,BRISAS DEL VOLADOR E-19,,,,1.0,,,1.0,,,,
1565,DIVINO ROSTRO E-19,,,,1.0,,,,,,,
1566,PRADO SUR E-16,,,,1.0,,,,,,,
1567,CALVO MAC PHILIS E-2,,,,1.0,,,,1.0,,,
1568,VISION DE COLOMBIA E-9,,,,1.0,,,,,,,
1569,LA ESTACION II E-7,,,,1.0,,,,,,,
1570,CEDRITOS SUR E-19,,,,1.0,,,,2.0,1.0,,3.0
1571,VILLAS DEL RINCON E-11,,,,1.0,,,,1.0,1.0,,2.0
1572,LOS PIJAOS E-18,,,,1.0,,,2.0,5.0,6.0,,10.0
1573,JARDIN DE SAN JORGE E-18,,,,1.0,,,,,1.0,,
1574,LOMBARDIA III E-11,,,,1.0,,,,,1.0,,
1575,EL RAMAJAL E-4,,,,1.0,,,,2.0,5.0,,3.0
1576,ALFONSO LOPEZ SECTOR LA ALBORADA E-5,,,,1.0,,,,1.0,,,2.0
1577,SAN CIPRIANO FONTIBON E-9,,,,1.0,,,,,,,
1578,PAULO VI. I Y II ETAPA E-13,,,,1.0,,,,7.0,2.0,,15.0
1579,ENTRERRIOS ZONA INDUSTRIAL E-12,,,,1.0,,,,,,,
1580,VILLA NATALY - 20 DE JULIO E-4,,,,1.0,,,,,,,4.0
1581,EL RETIRO E-11,,,,1.0,,,,,,,5.0
1582,RECODO DEL COUNTRY E-1,,,,1.0,,,,,,,5.0
1583,AEROPUERTO MUELLE NACIONAL,,,,1.0,,,,,,,3.0
1584,VEREDA LA REQUILINA E-5,,,,1.0,,,1.0,,6.0,,
1585,CABUYAL,,,,1.0,,,,,,,
1586,LOURDES II E-3,,,,1.0,,,,,,,
1587,LA COLINA CAMPESTRE IV SECTOR E-11,,,,1.0,,,,,,,3.0
1588,BOSQUE DE PINOS I SECTOR E-1,,,,1.0,,,,4.0,,,5.0
1589,EL LUJAN E-10,,,,1.0,,,,,1.0,,9.0
1590,PRADOS E-1,,,,1.0,,,,,,,
1591,CLARET NORTE E-11,,,,1.0,,,,,,,
1592,HACIENDA SANTA BARBARA E-1,,,,1.0,,,,2.0,,,5.0
1593,CIUDADELA DE LOS PARQUES E-12,,,,1.0,,,,,,,2.0
1594,SIERRAS DEL CHICO E-2,,,,1.0,,,,,,,
1595,INGRUMA E-10,,,,1.0,,,,,,,
1596,TABERIN E-11,,,,1.0,,,,,4.0,,
1597,ALTOS DEL REDIL E-1,,,,1.0,,,,,,,
1598,HACIENDA SANTA BARBARA LT EL CERRO E-11,,,,1.0,,,,,,,
1599,BOSQUE DE LA COLINA E-11,,,,1.0,,,,,,,
1600,CHIGUAZA E-4,,,,1.0,,,,,,,
1601,SANTA BEATRIZ E-1,,,,1.0,,,,,,,3.0
1602,CIUDAD SALITRE SPMZ III 16-17 E-13,,,,1.0,,,,,,,3.0
1603,FINCA SAN LUIS E-1,,,,1.0,,,,,1.0,,
1604,CIUDAD KENNEDY SPMZ 8 E-8,,,,1.0,,,,,,,
1605,RINCON DEL COUNTRY E-1,,,,1.0,,,,,,,
1606,INDUSTRIAL CENTENARIO III SECTOR E-16,,,,1.0,,,,,2.0,,
1607,TRIANGULO E-4,,,,1.0,,,,,,,
1608,INDUSTRIAL E-16,,,,1.0,,,,,,,
1609,BOCA COLINA E-11,,,,1.0,,,,,,,
1610,PORTAL DE LOS ALAMOS E-10,,,,1.0,,,,,,,
1611,RINCON DE VENECIA E-6,,,,1.0,,,1.0,3.0,5.0,,22.0
1612,MARICHUELA I ETAPA E-5,,,,1.0,,,4.0,3.0,3.0,,6.0
1613,PEPE VALL SERRA E-11,,,,1.0,,,,,,,12.0
1614,EL TRIUNFO E-8,,,,1.0,,,,1.0,,,2.0
1615,BALCONES DE SUBA E-11,,,,1.0,,,,,1.0,,
1616,VEREDA SANTA ISABEL USME E-19,,,,1.0,,,,,,,
1617,BELLA VISTA SUR E-4,,,,1.0,,,,,2.0,,10.0
1618,VILLA SOLLY E-11,,,,1.0,,,,,,,
1619,VILLA DEL ROSARIO E-16,,,,1.0,,,,1.0,,,9.0
1620,ALAMOS NORTE NORORIDENTAL E-10,,,,1.0,,,,,,,7.0
1621,RBORETUM E-2,,,,1.0,,,,,,,
1622,MULTIFAMILIAR CANAPRO E-1,,,,1.0,,,,,,,
1623,SAN JOSÉ DE TARBES E-1,,,,1.0,,,,,,,
1624,VILLA GLADYS IV SECTOR E-10,,,,1.0,,,,,1.0,,
1625,VILLA MAGDALA E-1,,,,1.0,,,,4.0,1.0,,14.0
1626,UNIVERSIDAD JAVERIANA E-2,,,,1.0,,,,,,,8.0
1627,ZONA INDUSTRIAL E-16,,,,1.0,,,1.0,,,,15.0
1628,LA AZUCENA A E-7,,,,1.0,,,,1.0,,,
1629,INGEMAR E-2,,,,1.0,,,,1.0,11.0,,7.0
1630,LA PORTADA II SECTOR E-7,,,,1.0,,,,,,,
1631,VILLA GLADYS E-18,,,,1.0,,,1.0,,,,
1632,EL RUBI E-9,,,,1.0,,,,,,,
1633,NUEVO MUZO II SECTOR I ETAPA E-6,,,,1.0,,,1.0,1.0,5.0,,4.0
1634,CAPELLANIA II SECTOR E-9,,,,1.0,,,1.0,,,,
1635,HOSPITAL DE FONTIBON E-9,,,,1.0,,,,,,,
1636,VILLA ANITA SUR E-5,,,,1.0,,,,1.0,3.0,,
1637,LA ALMERIA E-11,,,,1.0,,,,,,,
1638,EL BUEN PASTOR E-12,,,,1.0,,,,,,,
1639,VILLA DELIA - BRITALIA NORTE E-11,,,,1.0,,,,1.0,,,
1640,ACAIMA E-11,,,,1.0,,,,,,,
1641,LA PAZ E-5,,,,1.0,,,2.0,1.0,,,
1642,PARQUES DE LA COLINA I Y II ETAPA E-11,,,,1.0,,,,,,,
1643,PINAR DEL RIO E-8,,,,1.0,,,,1.0,,,
1644,BRASIL LOPEZ Y PIÑEROS E-7,,,,1.0,,,,,,,
1645,CENTRO FEDERICO LLERAS E-15,,,,1.0,,,,,,,
1646,LA PRADERA DE SUBA E-11,,,,1.0,,,,,,,
1647,VILLAS DEL CAN (CAMA VIEJA) E-13,,,,1.0,,,,,,,
1648,ONASIS E-8,,,,1.0,,,,1.0,1.0,,
1649,TERRENOS CAMACHO ROLDAN E-13,,,,1.0,,,,,,,
1650,ALBRICIAS E-11,,,,1.0,,,,,,,
1651,DINATEC E-9,,,,1.0,,,,,,,
1652,DIVINO SALVADOR E-13,,,,1.0,,,,,,,
1653,EL PORTAL DE ABASTO E-8,,,,1.0,,,,,,,8.0
1654,DOMINGO LAIN III E-19,,,,1.0,,,1.0,1.0,,,
1655,EL BALCON DE LA CASTAÑA E-4,,,,1.0,,,,1.0,,,
1656,EL SOCORRO E-18,,,,1.0,,,,2.0,6.0,,5.0
1657,VILLA ROSITA E-4,,,,1.0,,,,,2.0,,
1658,NICOLÁS DE FEDERMAN I SECTOR E-13,,,,1.0,,,,,,,
1659,LUCERNA E-1,,,,1.0,,,,,,,
1660,VILLA ALSACIA SECTOR A E-8,,,,1.0,,,,2.0,2.0,,4.0
1661,BOSQUE DE LOS LAGARTOS E-11,,,,1.0,,,,,,,
1662,SAN CRISTOBAL E-11,,,,1.0,,,,,,,
1663,EL RETIRO II E-2,,,,1.0,,,,,,,
1664,NIZA LTDA. E-11,,,,1.0,,,,5.0,,,3.0
1665,LAS DELICIAS DEL CARMEN E-10,,,,1.0,,,,,,,
1666,BOSQUE DE LOS COMUNEROS II ETAPA E-16,,,,1.0,,,,,,,
1667,ALEJANDRIA E-10,,,,1.0,,,,,1.0,,
1668,ALTO DE LA VIRGEN,,,,1.0,,,,,,,
1669,LOS ROSALES DE TIMIZA E-8,,,,1.0,,,,,1.0,,
1670,LA PLAYA II E-19,,,,1.0,,,,,2.0,,2.0
1671,URB. TIBABITA E-1,,,,1.0,,,,,,,
1672,HACIENDA TECHO LOTE N° 8 E-8,,,,1.0,,,,,,,
1673,CAMELIA II SECTOR E-16,,,,1.0,,,,,1.0,,
1674,LA COLINA CAMPESTRE III SECTOR E-11,,,,1.0,,,,1.0,,,
1675,EL VERGEL E-9,,,,1.0,,,,,3.0,,5.0
1676,EL SOCORRO II SECTOR E-18,,,,1.0,,,,,,,
1677,BUENAVISTA II E-1,,,,1.0,,,,1.0,5.0,,3.0
1678,EL PARAISO E-7,,,,1.0,,,1.0,4.0,1.0,,
1679,NUSHKILANDIA E-11,,,,1.0,,,,,,,
1680,BILABAO I SECTOR SECCIONES A Y B E-11,,,,1.0,,,,,,,5.0
1681,VICTORIA III SECTOR E-4,,,,1.0,,,,,,,
1682,LOS ANDES E-8,,,,1.0,,,,,,,
1683,CERROS DE SANTA BARBARA ALTA II E-1,,,,1.0,,,,,1.0,,
1684,CALLEJON DE LA ESTANZUELA E-16,,,,1.0,,,,,,,
1685,PLAZA DE PALOQUEMAO E-14,,,,1.0,,,,,1.0,,4.0
1686,EL CORTIJO E-5,,,,1.0,,,,,2.0,,
1687,MOTEL LAS MERCEDES E-9,,,,1.0,,,,,,,
1688,CENTRO URBANO E-13,,,,1.0,,,,,1.0,,
1689,PRADO SUR SECTOR LA VILLA E-11,,,,1.0,,,,,1.0,,
1690,BALMORAL III ETAPA E-19,,,,1.0,,,,,,,
1691,VILLAS DE SAN JOAQUÍN E-19,,,,1.0,,,,,1.0,,
1692,SANTA MARIA DE SOTILEZA E-11,,,,1.0,,,,,,,
1693,SANTA MARÍA E-1,,,,1.0,,,,,,,
1694,C.A.N. E-13,,,,1.0,,,,,,,2.0
1695,LA LUNA E-19,,,,1.0,,,,,,,
1696,CAPRI E-1,,,,1.0,,,,1.0,,,
1697,NUEVA ROMA ULTIMA ETAPA E-8,,,,1.0,,,,3.0,1.0,,13.0
1698,LOA ANDES E-11,,,,1.0,,,,,,,11.0
1699,ACAPULCO E-11,,,,1.0,,,,,2.0,,
1700,MARBELLA E-11,,,,1.0,,,,,,,
1701,LA EUROPA E-10,,,,1.0,,,,2.0,,,4.0
1702,FLORENZA E-11,,,,1.0,,,,,,,
1703,EL LIBERTADOR E-7,,,,1.0,,,,,,,2.0
1704,FLORIDABLANCA NORTE E-10,,,,1.0,,,,1.0,,,4.0
1705,EL AMERICANO E-13,,,,1.0,,,,,2.0,,
1706,LAIN PENON E-19,,,,1.0,,,,1.0,,,
1707,EL RINCON DE CATAY E-1,,,,1.0,,,,,,,2.0
1708,ANTIGUO COUNTRY CLUB E-2,,,,1.0,,,,,,,7.0
1709,MISION DE COLOMBIA E-12,,,,1.0,,,,,,,
1710,BUENA VISTA SECTOR A E-19,,,,1.0,,,,,,,
1711,LA ESPERANZA SUR E-5,,,,1.0,,,,,6.0,,
1712,SELVA DORADA E-9,,,,1.0,,,,1.0,,,
1713,EL VIRREY ULTIMA ETAPA E-5,,,,1.0,,,,1.0,14.0,,
1714,BOSQUES DE SAN JORGE E-11,,,,1.0,,,,2.0,2.0,,7.0
