Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cl. 183 # 8A-10;San Antonio;4.760265;-74.0293025;No VIS;45;Usaquén;49033;Terrazze Park 183;
Cr. 8D # 189-47;Lijaca;4.766393;-74.030327;No VIS;1;Usaquén;49034;Edificio 189 Plus;
Cl. 146 # 13-70;Cedritos;4.7277282;-74.0416261;No VIS;30;Usaquén;49035;Milá Aptos.;
Cl. 159 # 20A-54;Estrella del norte;4.7419451;-74.0445393;No VIS;9;Usaquén;49038;Edificio Calle 159;
Cr. 11 # 188-49;San Antonio Norte;4.76539916;-74.03229099;No VIS;9;Usaquén;49039;Sin Nombre;
Cr. 21A # 159-28;Estrella del Norte;4.74014;-74.046624;No VIS;4;Usaquén;49042;Ed. Ferreiros;
Cl. 163A # 7B-39;San Cristobal;4.73849219;-74.02454844;No VIS;8;Usaquén;49043;Ed. Toledo 163;
Cr. 21 # 159-71;Estrella del norte;4.73995453;-74.04609649;No VIS;9;Usaquén;49044;Sky 21 Aptos;
Cl. 168 # 7-51;Santa Teresa;4.74545799;-74.02362487;No VIS;99;Usaquén;49045;Montecarlo 168;
Cl. 161A # 16C-59;Toberín;4.74067481;-74.04051877;No VIS;9;Usaquén;49046;Morein Aptos;
Cl. 170 # 7-65;Santa Teresa;4.74642148;-74.02352956;No VIS;72;Usaquén;49048;Dos Torres 170;
Cl. 170 # 8-60;Redil;4.74880067;-74.02540901;VIS;265;Usaquén;49049;"Hacienda La Estancia ""Navarra""";
Cr. 60 # 66-31;Modelo;4.66735632;-74.084579;No VIS;2;Barrios Unidos;50335;Vista al Parque del Salitre;
Cr. 13A # 28-21;Centro Internacional;4.617068;-74.070932;No VIS;5;Santa Fe;50600;Museo Parque Central Fase II;
Cr. 14 # 108B-11 Sur;Brazuelos;4.492476;-74.119517;VIS;27;Usme;50693;Conj. Res. Parq. Cantarrana;
Tv. 60 0 # 59-24 Sur;Madelena;4.583655;-74.155398;No VIS;50;Ciudad Bolívar;50730;Altos de Madelena;
Cl. 32 # 6A-15;San Martin;4.61824902;-74.06711653;No VIS;4;Santa Fe;50746;Equilibrium;
Tv. 65 Sur # 59-35 Sur;Madelena;4.584766;-74.155746;No VIS;40;Ciudad Bolívar;50754;Santa Elena Reservado;
Cl. 64 # 1-15;Chapinero Alto;4.645774;-74.054082;No VIS;2;Chapinero;50796;Segal;
Cr. 35 # 63B-05;El Rosario;4.65405882;-74.07900843;No VIS;1;Barrios Unidos;50815;Central Park;
Cr. 7 # 33-91;La Marced;4.621291;-74.067474;No VIS;1;Santa Fe;50818;Teleskop;
Cl. 5 Sur # 3A-21;Las Brisas;4.581139;-74.081868;No VIS;5;San Cristóbal;50842;Al Lado del Centro;
Av. Cr. 1 # 59-21;Chapinero Alto;4.643112;-74.058329;No VIS;8;Chapinero;50843;Omega 59;
Cr. 21 # 24-89 Sur;Olaya;4.582971;-74.106432;No VIS;2;Rafael Uribe Uribe;50846;Torre Olaya Plaza +;
