Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cr. 16 # 58A-31;Galerias;4.64595371;-74.0678307;No VIS;3;Teusaquillo;56172;Tivoli;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;VIS;5;Fontibón;56173;La Felicidad - Oasis;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;VIS;7;Fontibón;56174;La Felicidad - Colina;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;VIS;4;Fontibón;56175;La Felicidad - Lago;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;VIS;6;Fontibón;56176;La Felicidad - La Senda;
Cr. 72 # 21-11;La Felicidad;4.65667;-74.12439;VIS;1;Fontibón;56177;La Felicidad  - Montaña;
Cl. 23A # 96J-19;Fontibon;4.67685;-74.13607;No VIS;12;Fontibón;56179;Balzani;
Cl. 79 # 76-31;Minuto de Dios;4.69744;-74.09434;No VIS;11;Engativá;56182;Portal Reservado;
Cr. 1 # 8-20;La Candelaria;4.59262;-74.07145;No VIS;35;La Candelaria;56188;Ed. La Primera Candelaria;
Cr. 15 # 49-51;Palermo;4.63717;-74.06804;No VIS;4;Chapinero;56190;KD Marly;
Av. Cl. 26 # 70A-25;Ciudad Salitre;4.66539;-74.11166;No VIS;86;Fontibón;56195;Vissani Aptos;
Cr. 81 # 77A-25;La Granja;4.69903;-74.09822;No VIS;9;Engativá;56196;Keisha;
Cr. 25 # 24C-21;Centro;4.62164;-74.07756;No VIS;3;Los Mártires;56197;Cyan 26;
Cl. 54 # 10-25;Chapinero Alto;4.64052;-74.0643;No VIS;5;Chapinero;56198;Smart Living 54;
Cl. 79A # 90-29;Primavera Norte;4.70532;-74.10515;No VIS;57;Engativá;56203;Andora 80;
Cl. 158 # 96A-77;Suba Salitre;4.756511;-74.082989;VIS;4;Suba;56207;Oka 96;
Cl. 32 # 5-31;Centro;4.61801;-74.06714;No VIS;202;Santa Fe;56208;Arbos Central ..;
Cl. 25B # 70B-70;Ciudad Salitre;4.6643;-74.1121;No VIS;169;Fontibón;56210;Gran Reserva de Mallorca;
Cl. 18 # 4-22;Las Aguas;4.60278;-74.071742;No VIS;173;Santa Fe;56211;Torre Ventto;
Cr. 35A # 60-58;Nicolas de Federman;4.65084;-74.082086;No VIS;10;Teusaquillo;56212;Juan Pablo;
Cr. 22A # 82-19;Polo Club;4.67004133;-74.06240345;No VIS;27;Barrios Unidos;56216;Edificio Praia;
Cr. 18 # 140-34;Cedritos;4.7232;-74.04486;No VIS;13;Usaquén;90251;Montello;
Cr. 7A # 146-89;Cedritos;4.72274;-74.027;No VIS;8;Usaquén;90252;Menta;
Cr. 70C # 52-96;Normandia;4.66834;-74.1049;No VIS;7;Engativá;90253;Mirador del Jardín;
Cl. 127D # 71-43;Niza;4.71311;-74.07609;No VIS;17;Suba;90254;Senderos de Niza;
Cl. 129 # 56C-02;Iberia;4.71703;-74.0663;No VIS;21;Suba;90256;Renacer 129;
Cl. 132A # 72-60;Gratamira;4.72592;-74.07411;No VIS;2;Suba;90257;Illium;
Cl. 94 # 68D-26;Julio Flores;4.68802;-74.07823;No VIS;3;Suba;90258;Sorreto 94;
Av. Cr. 86 # 10A-42;Castilla;4.64887783;-74.14481547;VIS;201;Kennedy;90260;Castilla Urbana;
Cr. 63 # 103-65;Andes;4.69132589;-74.0670259;No VIS;15;Suba;90261;Mattiz 103;
Cl. 128C # 55B-81;Prado Jardin;4.71583352;-74.06530785;No VIS;8;Suba;90262;Prado Reservado;
Cl. 144 # 19A-09;Cedritos;4.72571603;-74.04705126;No VIS;9;Usaquén;90263;Artio 144;
Cl. 51 # 73-57;Normandia;4.67112991;-74.11059018;No VIS;1;Engativá;90264;Viure 51;
Dg. 128BBis # 56B-42;Iberia;4.71626878;-74.06634127;No VIS;4;Suba;90265;Altos del Prado;
Cr. 50 # 144-56;Prado Pinzón;4.72774862;-74.05369378;No VIS;2;Suba;90266;Prado 144;
Cl. 150 # 50-12;Sotavento;4.73578862;-74.05300624;No VIS;43;Suba;90267;Park Living *;
Cl. 140 # 19A-36;Cedritos;4.72379071;-74.04769331;No VIS;29;Usaquén;90268;Ubik 140;
Cr. 49 # 165-73;Granada Norte;4.74725778;-74.05030322;No VIS;3;Suba;90269;Palau 165;
Cr. 23 # 142-52;Cedritos;4.7254407;-74.04946374;No VIS;9;Usaquén;90270;Ed. Bilbao;
Cl. 136 # 50-43;Spring;4.72283652;-74.05598115;No VIS;16;Suba;90271;San Sebastián;
Cl. 144 # 52-43;Prado Pinzón;4.72727651;-74.05528787;VIS;20;Suba;90272;Portal del Prado;
Cl. 149 # 12D-44;Cedritos;4.72872104;-74.03634842;No VIS;2;Usaquén;90273;La Zarzamora;
Dg. 150 # 145-11;Fontanar del Río;4.75756297;-74.11559517;VIS;5;Suba;90274;Mirador del Parque;
Cl. 144 # 19A-06;Cedritos;4.72613138;-74.04696389;No VIS;6;Usaquén;90275;Jerez Aptos.;
Cl. 176 # 58-;Villa del Prado;4.75789121;-74.05140568;VIS;14;Suba;90276;176 Park;
Dg. 24C # 68-01;Salitre;4.6512702;-74.10635538;No VIS;16;Fontibón;90277;Rodin..;
Av. Cr. 68 # 19-52;Puente Aranda;4.64319484;-74.11108019;No VIS;104;Puente Aranda;90278;Urban Salitre - Praga;
Cl. 135 # 45A-42;Iberia;4.72146544;-74.05289605;No VIS;4;Suba;90282;Edificio Alcalá;
Cl. 143 # 16-37;Cedritos;4.72428459;-74.04254182;No VIS;14;Usaquén;90283;Tramonto;
Cr. 82 # 22F-04;Modelia;4.66583551;-74.1262635;No VIS;13;Fontibón;90284;Ed. Verona;
Cl. 149 # 91-55;Campiña;4.74436486;-74.0840197;No VIS;1;Suba;90285;Ed. La Campiña;
Av. Cl. 13 # 68F-25;Alsacia;4.639033519;-74.12483925;No VIS;121;Kennedy;90286;La Terra;
Cl. 176 # 58-;Villa del Prado;4.757428259;-74.05248962;VIS;218;Suba;90287;Prado Park;
Cl. 165 # 56A-45;Cantalejo;4.747222384;-74.05851911;No VIS;30;Suba;90288;Parque 165;
Cr. 58C # 128A-44;Las Villas;4.715736093;-74.07146821;No VIS;8;Suba;90289;Villas del Parque;
Cl. 128A # 51A-48;Niza;4.715635669;-74.07117141;No VIS;18;Suba;90290;Imbituba Aptos.;
Cr. 99 # 156D-03;El Salitre;4.756310404;-74.08606987;VIS;115;Suba;90291;Zuri;
Cl. 138 # 49-42;Prado Pinzón;4.724783627;-74.05442636;No VIS;24;Suba;90292;Parque 138;
Cl. 176 # 52-05;Villa del Prado;4.757529652;-74.05042505;No VIS;33;Suba;90293;Entre Verde Club;
Cl. 176 # 52-05;Villa del Prado;4.757529652;-74.05042505;VIS;91;Suba;90293;Entre Verde Club;
Cl. 183 # 8D-25;San Antonio;4.76106088;-74.03072199;No VIS;145;Usaquén;90294;Edificio Uno.83 *;
Cr. 94B # 130D-50;Costa Rica;4.729867994;-74.09078599;No VIS;10;Suba;90295;Costa Rica Aptos.;
Cl. 170 entre 9 y 15;Alameda;4.75273323;-74.03432293;VIS;412;Usaquén;90296;Ciudad La Salle - Lyon;
Cr. 13 Este # 66-15 Sur;Juan Rey;4.525341;-74.089557;VIS;17;San Cristóbal;407013;Mirador del Virrey II;
Cl. 10 Sur # 6-60 Este;San Cristobal Sur;4.572753;-74.077785;VIS;2;San Cristóbal;407014;Makapi San Cristobal;
Cl. 4 Sur # 18-35;San Antonio;4.59112;-74.094991;No VIS;7;Antonio Nariño;407018;Ed. San Antonio;
Cr. 12 Este # 64A-51;Valparaiso;4.525861;-74.090168;VIS;26;San Cristóbal;407022;Reserva del Cedro;
Cl. 34 Sur # 52-44;El Ingles;4.603573;-74.128508;No VIS;4;Puente Aranda;407024;Mult. Alcala II;
Cr. 24G # 14-44 Sur;Restrepo Occidental;4.59100627;-74.10263615;No VIS;6;Antonio Nariño;407029;Vilanova IV;
Cl. 28 Sur # 12-20 Este;San Cristobal Sur;4.56231069;-74.07978312;VIS;120;San Cristóbal;407032;Reserva del Turpial;
Cr. 7 0 # 7-24 Sur;Villa Javier;4.58144553;-74.08476265;No VIS;9;San Cristóbal;407035;Balcones de Oriente II;
Cl. 31 Sur # 9-03 Este;Ramajal;4.55626098;-74.08335843;VIS;49;San Cristóbal;407041;Buenos Aires;
Cl. 42Bis Sur # 12C-04;San Jorge;4.5676593;-74.11346614;VIS;133;Rafael Uribe Uribe;407042;Alameda de San Jorge;
Cr. 37 # 68C-61 Sur;Candelaria la Nueva;4.56855419;-74.15383837;VIS;22;Ciudad Bolívar;407043;Atacama;
Cr. 2 Este # 79-01 Sur;Yomasa;4.51065106;-74.10504875;VIP;3;Usme;407044;Senderos de la Sierra Vip;
Cr. 2C Este # 61-17 Sur;La Fiscala;4.53621623;-74.10985578;VIS;7;Usme;407057;Ed. Thoor;
Cl. 11 Sur # 1A-09;San Cristobal;4.57474332;-74.08211406;No VIS;14;San Cristóbal;407058;Santa Ana II;
Cl. 11 Sur # 7-49;San Javier;4.57910439;-74.08721182;No VIS;3;San Cristóbal;407059;Santa Ana I;
Cr. 10 # 19-33 Sur;Ciudad Jardin;4.57644042;-74.0944978;No VIS;53;Antonio Nariño;407061;Edif. Toledo;
Cr. 24B # 13-27 Sur;Restrepo;4.58913964;-74.10115293;No VIS;6;Antonio Nariño;407062;Balcones de la Valvanera;
Cr. 12B # 10-23 Sur;Ciudad Berna;4.58532337;-74.0925596;No VIS;2;Antonio Nariño;407063;Lumbi 12;
Cl. 31 Sur # 27-34;Eduardo Frey;4.58901915;-74.1152414;No VIS;1;Antonio Nariño;407064;Ed. Marcela;
Cr. 50B # 37A-21 Sur;Muzu;4.59829268;-74.12650478;No VIS;2;Puente Aranda;407065;Senderos del Río;
Cl. 37 Sur # 51-50;Muzu;4.60011348;-74.12704126;No VIS;2;Puente Aranda;407066;Trezano;
Cl. 31Bis Sur # 26D-06;Matatigres;4.58749775;-74.11550103;No VIS;19;Rafael Uribe Uribe;407067;Torre Riovista;
Dg. 48B Sur # 5L-80;Molinos;4.55989073;-74.11186101;VIS;166;Rafael Uribe Uribe;407072;Novo Molinos;
Cl. 10 Sur # 15-36;San Antonio;4.58815483;-74.09527471;No VIS;9;Antonio Nariño;407073;Ed. Jans III;
Dg. 51 Sur # 53B-10;Venecia;4.59032841;-74.14121431;No VIS;1;Tunjuelito;407075;Veneto II;
Cl. 26 Sur # 20-28;Olaya;4.58259157;-74.10707296;No VIS;20;Rafael Uribe Uribe;407076;Solario del Parque;
Cl. 60A Sur # 73-40;Galicia;4.592116318;-74.16948569;VIS;117;Ciudad Bolívar;407084;Bilbao Aptos;
Cl. 36A Sur # 10B-40 Este;Ramajal;4.555420593;-74.08279377;VIS;287;San Cristóbal;407085;Mirador de la Reserva;
